draco malfoy
harry potter
ron weasley
magnus chase
alex rider
arthur weasley
bill weasley
fred weasley
george weasley
lord voldemort
vishwameda nalabotu
tom riddle
adam reeves
james adam
percy jackson
gleeson hedge
grover underwood
johnny test
xander cage
teddy peirce
jeronicus jangle
dank memer
hearthstone anderson
arthur christmas
george pig
jason grace
frank zhang
luke castellan
leo valdez
will solace
dervish grady
kernel fleck
grubbs grady
billy spleen
cal grady
kirilli kovak
raz warlo
william mauch
loch gossel
alan blunt
darius sayle
ian rider
hugo grief
nikolei drevin
paul drevin
yassen gregorovitch
winston yu
magnus payne
julius grief
damian cray
ben daniel
ethan brook
john crawford
desmond mccain
alexei sarov
ravi chandra
max grendel
erik gunter
charlie roper
rich shaw
